coef,coef_p,driver,neighbour
-0.405512134593221,0.0172249577147814,AKT1,SNCB
-0.828584210038066,0.0124825239766554,AKT1,SOSTDC1
0.145263623118468,0.0347021610724426,AKT1,TBCE
-0.318638410821387,0.0481903744988855,AKT1,TCL1B
-0.210439770816833,0.0030384128532737,AKT1,TCOF1
-0.201556695696697,0.0025502830536369,AKT1,TCP1
-0.182262537480412,0.0028149316453279,AKT1,TERF1
0.189223188887326,0.0442071281847346,AKT1,THEM4
0.247902976667352,0.0468850152991231,AKT1,TIPARP
-0.392241721220788,0.0006289380964958,AKT1,TUBA1A
-0.227243448719145,0.0009066516064644,AKT1,TUBB
-0.324664862549281,0.0435469759230591,AKT1,TYROBP
-0.16384479702536,0.0140502547884725,AKT1,UBE2D1
-0.40577610173364,0.0005620648378588,AKT1,UBE2S
-0.115936083850269,0.0442878064592487,AKT1,UMPS
-0.266040966548464,0.0005476992127328,AKT1,USP1
-0.278849280260386,1.1191180122773e-05,AKT1,UTP18
-0.118811840164757,0.0364635607762699,AKT1,VCP
-0.190311488141233,0.0046780510992508,AKT1,WDR53
0.273539662931092,0.0089795061474035,AKT1,WFS1
-0.16571889174187,0.0018656022956466,AKT1,XRCC6
-0.198716401714273,0.0227374821948521,AKT2,ACP1
0.228413293550937,0.0242744269724851,AKT2,AP1G1
-0.670809688296121,0.0048755045079807,AKT2,C11orf52
-0.39646659024886,0.0056606494985692,AKT2,CALML4
-0.399016763171174,0.0005724680045297,AKT2,CBY1
-0.221818099919724,0.0159964178467497,AKT2,PDHB
-0.235273789686255,0.0138391627847092,AKT2,PSMD9
-0.292284225764207,0.041950734323755,AKT2,THEM4
0.305960506228369,0.0189028832385143,AKT2,TMOD3
-0.170413217090873,0.0484470834019283,AKT2,XRCC6
-0.256279636176755,0.0139967256373348,AKT3,IRF3
0.459546124916618,0.0239317854068045,ALB,AHSG
-0.34846386843875,0.0024686530850972,ALB,AMPD3
0.526574605577704,0.0342155089750969,ALB,APOA1
0.421623427654978,0.0486996062035831,ALB,APOA2
0.504838573356646,0.0320327123503619,ALB,APOC2
-0.29485669267072,0.0009375005086248,ALB,APP
0.132783731142335,0.0057407169694989,ALB,ARIH2
0.814134467327098,0.0015010109788496,ALB,BCHE
-0.138623357773252,0.012285266793659,ALB,BTRC
0.415893996217515,0.0020181416387738,ALB,CALML6
-0.562497525742581,0.0097553741691584,ALB,CCDC8
-0.27569407569071,0.031092351017156,ALB,CCNA2
-0.515874060809435,0.0014064153365223,ALB,CDCP1
-0.312219995441974,0.0466881286050622,ALB,CUBN
0.189721333686732,0.000610707120504,ALB,DERL1
-0.134426698837624,0.0196912957425841,ALB,FUS
0.120248034699907,0.0464080589156958,ALB,GAR1
-0.438692491817492,0.0112089961221168,ALB,GRAP2
0.527209094604196,4.29464892900721e-05,ALB,HAO1
-0.127873643648464,0.0382845444794311,ALB,HDAC2
0.445843827877262,0.0161371557641664,ALB,HPX
0.135465233514716,0.0389209939311932,ALB,HSF1
-1.05271413399561,9.05218533947771e-08,ALB,IGDCC4
0.49801222955149,0.0040477406659496,ALB,ITIH1
-0.212928237962637,0.0044078659194855,ALB,JARID2
-0.30782417530592,0.0105181485667225,ALB,KCTD17
-0.292361822375249,0.0479005236621165,ALB,KIF23
0.461928356193682,0.0283046571841911,ALB,KNG1
-0.421744118613107,0.0076140685665454,ALB,LOXL2
0.100228242000911,0.0370921405993588,ALB,LUC7L2
-0.322586962915231,0.0254154737413857,ALB,OBSL1
0.148730241718259,0.0289445860782404,ALB,OTUD7B
-0.37955724796142,0.0126739145480697,ALB,PDE4B
-0.710540551945971,0.0010882661483558,ALB,PEG3
-0.47983102706619,0.0066458911436095,ALB,PF4V1
0.486933525088045,0.0251224332079254,ALB,PLG
